en_name,cn_name
Castlevania - The New Generation (Europe) (Beta) [b],nan
Castlevania - The New Generation (Europe),恶魔城新之时代美
"Centurion - Defender of Rome (USA, Europe) (Alt 1)",罗马保卫战美
"Centurion - Defender of Rome (USA, Europe)",罗马保卫战美
"Chakan (USA, Europe) (1992-10-06) (Sega Channel)",nan
"Chakan (USA, Europe)",nan
Chameleon Kid (Japan) (En),nan
"Champions World Class Soccer (World) (En,Fr,De,Es)",世界级足球
Championship Bowling (USA),冠军杯保龄美
Championship Pool (USA),撞球锦标赛美
Championship Pro-Am (USA),火柴遥控车
Chao Ji Da Fu Weng (Taiwan) (Unl),超级大富翁(Cht)(Unl)
Chao Ji Mahjong Club (Taiwan) (Unl),nan
Chao Ji Poker (Taiwan) (En) (Unl),nan
"Chaos Engine 2, The (Europe) (Proto)",nan
"Chaos Engine, The (Europe)",混乱机车欧
Chase H.Q. II (USA),nan
Chavez II (Mexico),nan
"Cheese Cat-Astrophe Starring Speedy Gonzales (Europe) (En,Fr,De,Es)",nan
Chelnov (Japan),nan
Chess (Russia) (Unl),nan
Chester Cheetah - Too Cool to Fool (USA),nan
Chester Cheetah - Wild Wild Quest (USA),nan
Chi Chi's Pro Challenge Golf (USA),nan
Chibi Maruko-chan - Wakuwaku Shopping (Japan),樱桃小丸子购物记日
"Chiki Chiki Boys (Japan, Korea)",世界勇者双麟儿
"Chiki Chiki Boys (USA, Europe)",世界勇者双麟儿
Chou Kyuukai Miracle Nine (Japan),nan
Chou Touryuu Retsuden - Dino Land (Japan),nan
Chuck Rock (Europe),原始人
Chuck Rock (USA),原始人
Chuck Rock II (Japan),nan
Chuck Rock II - Son of Chuck (Europe),呆呆原始人2(U)
Chuck Rock II - Son of Chuck (USA) (Beta),呆呆原始人2(U)
Chuck Rock II - Son of Chuck (USA),呆呆原始人2(U)
Classic Collection (Europe),MD合卡系列经典合集(E)
ClayFighter (Europe),雪人格斗
ClayFighter (USA),雪人格斗
Cliffhanger (Europe),史泰龙
Cliffhanger (USA),史泰龙
Clue (USA),暗示
Coach K College Basketball (USA),K教练大学篮球
College Football USA 96 (USA),美式大学足球'96
College Football USA 97 (USA),美式大学足球'97
College Football's National Championship (USA) (Beta) (1994-04-13),大学美式足球冠军赛美
College Football's National Championship (USA) (Beta) (1994-04-18),大学美式足球冠军赛美
College Football's National Championship (USA) (Beta) (1994-04-19),大学美式足球冠军赛美
College Football's National Championship (USA) (Beta) (1994-04-29),大学美式足球冠军赛美
College Football's National Championship (USA) (Beta) (1994-05-03),大学美式足球冠军赛美
College Football's National Championship (USA) (Beta) (1994-05-06),大学美式足球冠军赛美
College Football's National Championship (USA) (Beta) (1994-05-11),大学美式足球冠军赛美
College Football's National Championship (USA) (Beta) (1994-05-17),大学美式足球冠军赛美
College Football's National Championship (USA) (Beta) (1994-05-20),大学美式足球冠军赛美
College Football's National Championship (USA) (Beta) (1994-05-25),大学美式足球冠军赛美
College Football's National Championship (USA) (Beta) (1994-05-31),大学美式足球冠军赛美
College Football's National Championship (USA) (Beta) (1994-06-01),大学美式足球冠军赛美
College Football's National Championship (USA) (Beta) (1994-06-03),大学美式足球冠军赛美
College Football's National Championship (USA) (Beta) (1994-06-07),大学美式足球冠军赛美
College Football's National Championship (USA) (Beta) (1994-06-08),大学美式足球冠军赛美
College Football's National Championship (USA) (Beta) (1994-06-14),大学美式足球冠军赛美
College Football's National Championship (USA) (Beta) (1994-06-15),大学美式足球冠军赛美
College Football's National Championship (USA) (Beta) (1994-06-18),大学美式足球冠军赛美
College Football's National Championship (USA) (Beta) (1994-06-20),大学美式足球冠军赛美
College Football's National Championship (USA),大学美式足球冠军赛美
College Football's National Championship II (USA),nan
College Slam (USA),美式足球美2
Columns (Japan) (En),nan
Columns (USA) (1990-06-21) (Sega Channel),nan
"Columns (USA, Europe)",nan
Columns III (USA),nan
"Columns III - Taiketsu! Columns World (Japan, Korea)",nan
Combat Aces (USA) (Proto) (Unl),nan
"Combat Cars (USA, Europe)",战斗赛车美欧
Comix Zone (Europe) (Beta) (1995-06-28),漫画地带
Comix Zone (Europe) (Beta) (1995-07-12),漫画地带
"Comix Zone (Europe) (En,Fr,De,Es)",漫画地带
"Comix Zone (Japan) (En,Ja)",漫画地带
Comix Zone (USA) (Beta) (1995-06-01) (Alt 1),漫画地带
Comix Zone (USA) (Beta) (1995-06-01) (Alt 2),漫画地带
Comix Zone (USA) (Beta) (1995-06-01) (Alt 3),漫画地带
Comix Zone (USA) (Beta) (1995-06-01),漫画地带
Comix Zone (USA) (Beta) (1995-06-02) (Alt 1),漫画地带
Comix Zone (USA) (Beta) (1995-06-02),漫画地带
Comix Zone (USA) (Beta) (1995-06-03),漫画地带
Comix Zone (USA) (Demo) (1995-06-12) (Sega Channel),漫画地带
Comix Zone (USA) (Sega Smash Pack),漫画地带
Comix Zone (USA) (Virtual Console),漫画地带
Comix Zone (USA),漫画地带
Comix Zone (Unknown) (Beta) (1995-04-04),漫画地带
Comix Zone (Unknown) (Beta) (1995-05-26),漫画地带
Comix Zone (Unknown) (Beta) (1995-05-30),漫画地带
Congo - The Game (USA) (Proto),nan
"Contra - Hard Corps (USA, Korea)",魂斗罗-铁血兵团
Contra - The Hard Corps (Japan),魂斗罗-铁血兵团
Cool Spot (Europe),七喜小子
"Cool Spot (Japan, Korea)",七喜小子
Cool Spot (USA) (Beta),七喜小子
Cool Spot (USA),七喜小子
Copy17 Pocahontas (Europe),nan
Copy41 Monopoly (USA),nan
Copy55 Wheel of Fortune (USA),nan
Copy68 Frogger (USA),nan
Copy84 Jeopardy! (USA),nan
Corporation (Europe),毁灭战士欧
"Cosmic Spacehead (Europe) (En,Fr,De,Es) (Rev 1)",宇宙首领美欧
"Cosmic Spacehead (USA, Europe) (En,Fr,De,Es)",宇宙首领美欧
Crack Down (Europe),爆裂激战
Crack Down (Japan) (En),爆裂激战
Crack Down (USA),爆裂激战
Crayon Shin-chan - Arashi o Yobu Enji (Japan),nan
CrossFire (USA) (Sample),穿越火线
CrossFire (USA),穿越火线
Crude Buster (Japan),暴力克星
Crue Ball (Japan),重金属弹球欧
"Crue Ball - Heavy Metal Pinball (USA, Europe)",nan
Crusader of Centy (USA),创世战士
Crying - Aseimei Sensou (Japan),nan
Crystal's Pony Tale (USA) (Beta) (1994-05-11),水晶小马美
Crystal's Pony Tale (USA) (Beta) (1994-05-19),水晶小马美
Crystal's Pony Tale (USA) (Beta) (1994-05-26),水晶小马美
Crystal's Pony Tale (USA) (Beta) (1994-06-01),水晶小马美
Crystal's Pony Tale (USA) (Beta) (1994-06-06),水晶小马美
Crystal's Pony Tale (USA) (Beta) (1994-06-10),水晶小马美
Crystal's Pony Tale (USA) (Beta) (1994-06-23),水晶小马美
Crystal's Pony Tale (USA) (Beta) (1994-06-28),水晶小马美
Crystal's Pony Tale (USA) (Beta) (1994-06-30),水晶小马美
Crystal's Pony Tale (USA) (Beta) (1994-07-01),水晶小马美
Crystal's Pony Tale (USA) (Beta) (1994-07-02),水晶小马美
Crystal's Pony Tale (USA) (Beta) (1994-07-03),水晶小马美
Crystal's Pony Tale (USA) (Beta) (1994-07-12) (Alt 1),水晶小马美
Crystal's Pony Tale (USA) (Beta) (1994-07-12),水晶小马美
Crystal's Pony Tale (USA) (Beta) (1994-07-13),水晶小马美
Crystal's Pony Tale (USA),水晶小马美
Curse (Japan),诅咒日
Curse (USA) (Proto) (1990-06-26) (Sega Channel),诅咒日
"CutThroat Island (USA, Europe) (Beta)",割喉岛
"CutThroat Island (USA, Europe)",割喉岛
Cutie Suzuki no Ringside Angel (Japan),nan
Cyber Police - ESWAT (Japan),nan
Cyber-Cop (USA),nan
Cyberball (World),nan
"Cyborg Justice (USA, Europe)",正义审判美欧
"DEcapAttack (USA, Europe, Korea)",僵尸大进击
DJ Boy (Europe),DJ男孩
DJ Boy (Japan),DJ男孩
DJ Boy (USA),DJ男孩
Daffy Duck in Hollywood (Europe) (Beta),好莱坞的达菲鸭
"Daffy Duck in Hollywood (Europe) (En,Fr,De,Es,It)",好莱坞的达菲鸭
Dahna (Korea),nan
Dahna - Megami Tanjou (Japan),nan
Daikoukai Jidai (Japan),nan
Daikoukai Jidai II (Japan),大航海时代2
Daimakaimura (Japan),nan
Daimakaimura ~ Ghouls'n Ghosts (World) (Rev A) (Alt 1),nan
Daimakaimura ~ Ghouls'n Ghosts (World) (Rev A),nan
Daimakaimura ~ Ghouls'n Ghosts (World) (Rev B),nan
"Daisenpuu ~ Twin Hawk (Japan, Europe) (Beta) (1990-04-06)",nan
"Daisenpuu ~ Twin Hawk (Japan, Europe)",nan
Dangerous Seed (Japan),危险的种子
Danny Sullivan's Indy Heat (USA) (Proto),nan
Darius II (Japan),nan
"Dark Castle (USA, Europe)",暗黑之城
"Darwin 4081 (Japan, Korea) (Beta) (1990-02-21)",达尔文4081
"Darwin 4081 (Japan, Korea)",达尔文4081
Dashin' Desperadoes (Europe) (Proto),亡命之徒
Dashin' Desperadoes (Europe) (Prototype),亡命之徒
Dashin' Desperadoes (USA) (Beta),亡命之徒
Dashin' Desperadoes (USA),亡命之徒
David Crane's Amazing Tennis (USA),大卫杯网球赛美
David Robinson Basketball (Japan) (Beta) (1992-04-15),nan
David Robinson Basketball (Japan),nan
"David Robinson's Supreme Court (USA, Europe)",大卫罗宾逊篮球
Davis Cup II (Europe) (Proto) (1994-07-10),nan
Davis Cup II (USA) (Proto) (1994-07-28),nan
Davis Cup Tennis (Japan),nan
