en_name,cn_name
Last Armageddon (Japan) (Rev 6),女超人蕾拉 （日版） （修正版 6）
Legend of Xanadu - Kaze no Densetsu Xanadu (Japan),风的传说 （日版）
Legend of Xanadu - Kaze no Densetsu Xanadu II (Japan),风的传说 2 （日版）
Legion (Japan),空中军团 （日版）
Lemmings (Japan),疯狂小旅鼠 （日版）
Linda^3 (Japan) (Rev 1),琳达三次方 （日版） （修正版 1）
Linda^3 (Japan) (Rev 2),琳达三次方 （日版） （修正版 2）
"Local Girls of Hawaii, The (USA) (Unl)",夏威夷本地女孩 （美版） （非官方版）
Loom (Japan),织布机 （日版）
Loom (USA),织布机 （美版）
Lord of Wars (Japan),军火之王 （日版）
Lords of the Rising Sun (USA),旭日东升 （美版）
Lords of Thunder (USA),雷霆之王 （美版）
Mad Stalker - Full Metal Force (Japan),疯狂潜入者 金属力量 （日版）
Mad Stalker - Full Metal Force (Japan) (Demo),疯狂潜入者 金属力量 （日版） （演示版）
Madou Monogatari I - Honoo no Sotsuenji (Japan),魔导物语 ～炎の卒園児～ （日版）
Magical Dinosaur Tour (USA),神奇恐龙之旅 （美版）
Magical Saurus Tour (Japan),神奇恐龙之旅 （日版）
Magicoal (Japan),魔力酷 （日版）
Mahjong Clinic Special (Japan),麻將特別診療所 （日版）
Mahjong Lemon Angel (Japan),麻将柠檬天使 （日版）
Mahjong on the Beach (Japan),沙滩麻将 （日版）
Mahjong Sword - Princess Quest Gaiden (Japan),麻将剑 公主任务外传 （日版）
Mahjong Vanilla Syndrome (Japan),美少女麻将 （日版）
Mahjong Vanilla Syndrome (Japan) (Alt),美少女麻将 （日版） (Alt)
Makai Eiyuuden - Shape Shifter (Japan),魔界英雄伝 （日版）
Mamono Hunter Youko - Makai kara no Tenkousei (Japan),魔物猎人妖子 来自魔界的转校生 （日版）
Mamono Hunter Youko - Tooki Yobigoe (Japan),魔物猎人妖子 遥远的呼声 （日版）
"Manhole, The (Japan)",井盖 （日版）
Martial Champion (Japan),武术冠军 （日版）
Mashou Denki - La Valeur (Japan),魔晶伝记 （日版）
Master of Monsters (Japan),万兽之王 （日版）
Mateki Densetsu Astralius (Japan),魔笛伝説 （日版）
Megami Paradise (Japan),女神天国 （日版）
Metal Angel (Japan),合金天使 （日版）
Metal Angel 2 (Japan),合金天使2 （日版）
Metamor Jupiter (Japan),木星穿梭机 （日版）
Meteor Blaster DX (USA) (Unl),流星爆破者 DX （美版） （非官方版）
Meteor Blaster DX (USA) (Unl) (Rerelease),流星爆破者 DX （美版） （非官方版） (Rerelease)
Might and Magic (Japan),魔法门 （日版）
Might and Magic III - Isles of Terra (Japan),魔法门3 幻岛历险记 （日版）
Might and Magic III - Isles of Terra (USA),魔法门3 幻岛历险记 （美版）
Minesweeper (Japan),扫雷 （日版）
Mirai Shounen Conan (Japan),未来少年柯南 （日版）
Mitsubachi Gakuen (Japan),三叶学园 （日版）
Monster Lair (USA),神奇男孩（美版）
Monster Maker - Yami no Ryuukishi (Japan),怪獸製造廠 - 闇之龍騎士 （日版）
Monster Maker - Yami no Ryuukishi (Japan) (Alt),怪獸製造廠 - 闇之龍騎士 （日版） (Alt)
Moonlight Lady (Japan),无颜之月 （日版）
