en_name,cn_name
Cosmophony,虚拟宇宙 [英文版]
Steins;Gate,命运石之门 [英文版]
Amnesia: Memories,失忆症：记忆 [英文版]
Axiom Verge,公理边缘 [英文版]
Hatoful Boyfriend,帅鸽男友 [日英文版]
MLB.TV Premium,美国职业棒球大联盟 TV 进阶版 [英文版]
Geometry Wars 3: Dimensions Evolved,几何战争 3：维度 [英文版]
XCOM: Enemy Unknown Plus,幽浮：未知敌人 Plus [英文版]
Broken Age,破碎时光 [英文版]
Day of the Tentacle Remastered,触手也疯狂 重制版 [英文版]
Hyperdimension Neptunia: Re;Birth3 V Generation,超次元海王星：重生 3 V 世纪 [英文版]
Bloxiq,魔方消除 [英文版]
Metal Slug 3,合金弹头 3 [英文版]
Heroes of Loot,乱世英雄 [英文版]
